DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,TotalPersonasSencibilizadas,COD DANE INST EDUC,MUNICIPIO_COD,FECHA DE CARGUE,ID INDICADOR,INVERSION_TOTAL,FECHA VIGENCIA,META_NACIONAL
BOGOTA,"BOGOTA, D.C.",2,111001015318,11001,2016-12-31,3979,177084.73,2016-12-31,48000
MAGDALENA,ARACATACA,20,247053000032,47053,2015-12-31,3101,1484744.25,2015-12-31,34000
VALLE DEL CAUCA,TRUJILLO,20,176828000021,76828,2016-12-31,3979,1770847.3,2016-12-31,48000
MAGDALENA,EL RETEN,24,247268002052,47268,2015-12-31,3101,1781693.1,2015-12-31,34000
ATLANTICO,SOLEDAD,10,308758001274,8758,2015-12-31,3101,742372.12,2015-12-31,34000
VALLE DEL CAUCA,CALI,15,376001012053,76001,2016-12-31,3979,1328135.47,2016-12-31,48000
BOLIVAR,MARGARITA,22,213440000502,13440,2016-12-31,3979,1947932.03,2016-12-31,48000
HUILA,SAN AGUSTIN,15,341668001680,41668,2014-12-31,2344,1775446.97,2014-12-31,18300
BOYACA,CHIQUINQUIRA,11,315176000857,15176,2015-12-31,3101,816609.33,2015-12-31,34000
QUINDIO,ARMENIA,12,263001000421,63001,2016-12-31,3979,1062508.38,2016-12-31,48000
VALLE DEL CAUCA,CALI,5,376001035665,76001,2016-12-31,3979,442711.82,2016-12-31,48000
BOYACA,GUATEQUE,15,315322000228,15322,2016-12-31,3979,1328135.47,2016-12-31,48000
ANTIOQUIA,NECOCLI,11,105490000026,5490,2016-12-31,3979,973966.01,2016-12-31,48000
CAUCA,POPAYAN,14,319001002968,19001,2016-12-31,3979,1239593.11,2016-12-31,48000
QUINDIO,CALARCA,31,363001000191,63130,2016-12-31,3979,2744813.31,2016-12-31,48000
ATLANTICO,BARRANQUILLA,40,308001018358,8001,2015-12-31,3101,2969488.5,2015-12-31,34000
QUINDIO,ARMENIA,9,163001000396,63001,2016-12-31,3979,796881.28,2016-12-31,48000
HUILA,NEIVA,7,441001004839,41001,2015-12-31,3101,519660.48,2015-12-31,34000
VALLE DEL CAUCA,BUENAVENTURA,23,176109000842,76109,2014-12-31,2344,2722352.02,2014-12-31,18300
RISARALDA,DOSQUEBRADAS,42,166170001023,66170,2016-12-31,3979,3718779.33,2016-12-31,48000
TOLIMA,FLANDES,26,373275000257,73275,2016-12-31,3979,2302101.49,2016-12-31,48000
NORTE DE SANTANDER,LOS PATIOS,7,354405000098,54405,2016-12-31,3979,619796.55,2016-12-31,48000
ATLANTICO,BARRANQUILLA,21,108001075191,8001,2014-12-31,2344,2485625.76,2014-12-31,18300
CALDAS,ARANZAZU,6,117050000316,17050,2016-12-31,3979,531254.19,2016-12-31,48000
CUNDINAMARCA,CHIA,1,225175000340,25175,2014-12-31,2344,118363.13,2014-12-31,18300
CAUCA,POPAYAN,24,119001002845,19001,2014-12-31,2344,2840715.15,2014-12-31,18300
RISARALDA,PEREIRA,14,166001000395,66001,2014-12-31,2344,1657083.84,2014-12-31,18300
HUILA,RIVERA,22,241615000130,41615,2015-12-31,3101,1633218.67,2015-12-31,34000
SANTANDER,FLORIDABLANCA,8,168276001394,68276,2016-12-31,3979,708338.92,2016-12-31,48000
ATLANTICO,BARRANQUILLA,22,108001003475,8001,2015-12-31,3101,1633218.67,2015-12-31,34000
VALLE DEL CAUCA,CALI,11,376001036882,76001,2015-12-31,3101,816609.33,2015-12-31,34000
VALLE DEL CAUCA,BUENAVENTURA,36,376109005797,76109,2015-12-31,3101,2672539.65,2015-12-31,34000
ANTIOQUIA,MEDELLIN,8,305001011516,5001,2016-12-31,3979,708338.92,2016-12-31,48000
CESAR,VALLEDUPAR,30,120001000638,20001,2016-12-31,3979,2656270.95,2016-12-31,48000
CALDAS,MANIZALES,40,117001005256,17001,2014-12-31,2344,4734525.26,2014-12-31,18300
ATLANTICO,SOLEDAD,23,108758000015,8758,2014-12-31,2344,2722352.02,2014-12-31,18300
CAQUETA,EL DONCELLO,98,183247000213,18247,2015-12-31,3101,7275246.83,2015-12-31,34000
ATLANTICO,BARANOA,22,108078000029,8078,2015-12-31,3101,1633218.67,2015-12-31,34000
ATLANTICO,BARRANQUILLA,15,108001003556,8001,2015-12-31,3101,1113558.18,2015-12-31,34000
HUILA,NEIVA,30,141001003855,41001,2016-12-31,3979,2656270.95,2016-12-31,48000
BOYACA,GUAYATA,37,215325000089,15325,2014-12-31,2344,4379435.86,2014-12-31,18300
SUCRE,SINCELEJO,33,170001000198,70001,2016-12-31,3979,2921898.04,2016-12-31,48000
VALLE DEL CAUCA,EL CERRITO,22,176248000024,76248,2014-12-31,2344,2603988.89,2014-12-31,18300
ATLANTICO,SOLEDAD,55,108758000023,8758,2014-12-31,2344,6509972.23,2014-12-31,18300
QUINDIO,CALARCA,5,163130000718,63130,2015-12-31,3101,371186.06,2015-12-31,34000
ATLANTICO,BARRANQUILLA,23,108001079277,8001,2015-12-31,3101,1707455.89,2015-12-31,34000
ATLANTICO,BARRANQUILLA,15,308001008476,8001,2015-12-31,3101,1113558.18,2015-12-31,34000
ATLANTICO,SOLEDAD,14,308758001002,8758,2014-12-31,2344,1657083.84,2014-12-31,18300
BOYACA,TENZA,22,115798000014,15798,2015-12-31,3101,1633218.67,2015-12-31,34000
ATLANTICO,BARRANQUILLA,23,108001077495,8001,2015-12-31,3101,1707455.89,2015-12-31,34000
BOYACA,CALDAS,14,115131000172,15131,2015-12-31,3101,1039320.97,2015-12-31,34000
ATLANTICO,BARRANQUILLA,27,308001012920,8001,2016-12-31,3979,2390643.85,2016-12-31,48000
LA GUAJIRA,SAN JUAN DEL CESAR,14,244650000761,44650,2015-12-31,3101,1039320.97,2015-12-31,34000
QUINDIO,CALARCA,7,163130000165,63130,2015-12-31,3101,519660.48,2015-12-31,34000
ANTIOQUIA,MEDELLIN,23,105001015148,5001,2016-12-31,3979,2036474.39,2016-12-31,48000
VALLE DEL CAUCA,CALI,48,176001028970,76001,2015-12-31,3101,3563386.2,2015-12-31,34000
BOYACA,TIBASOSA,16,315806000214,15806,2015-12-31,3101,1187795.4,2015-12-31,34000
CALDAS,CHINCHINA,29,117174000314,17174,2014-12-31,2344,3432530.81,2014-12-31,18300
CHOCO,SIPI,8,127745000240,27745,2016-12-31,3979,708338.92,2016-12-31,48000
CALDAS,MANIZALES,38,317001007070,17001,2015-12-31,3101,2821014.08,2015-12-31,34000
QUINDIO,LA TEBAIDA,15,163401000140,63401,2015-12-31,3101,1113558.18,2015-12-31,34000
ATLANTICO,BARRANQUILLA,35,108001018421,8001,2016-12-31,3979,3098982.77,2016-12-31,48000
CAUCA,CALOTO,72,219142000999,19142,2016-12-31,3979,6375050.28,2016-12-31,48000
BOLIVAR,CARTAGENA,18,113001000852,13001,2015-12-31,3101,1336269.82,2015-12-31,34000
NORTE DE SANTANDER,PAMPLONA,7,154518000281,54518,2015-12-31,3101,519660.48,2015-12-31,34000
MAGDALENA,FUNDACION,23,247288000013,47288,2015-12-31,3101,1707455.89,2015-12-31,34000
VALLE DEL CAUCA,CALI,20,376001021648,76001,2014-12-31,2344,2367262.63,2014-12-31,18300
QUINDIO,ARMENIA,82,163001000655,63001,2016-12-31,3979,7260473.93,2016-12-31,48000
BOYACA,SUTATENZA,28,315778000181,15778,2016-12-31,3979,2479186.22,2016-12-31,48000
SANTANDER,BUCARAMANGA,12,168001002722,68001,2016-12-31,3979,1062508.38,2016-12-31,48000
VALLE DEL CAUCA,BUENAVENTURA,33,176109003183,76109,2016-12-31,3979,2921898.04,2016-12-31,48000
ANTIOQUIA,CAREPA,23,205147000147,5147,2016-12-31,3979,2036474.39,2016-12-31,48000
CORDOBA,SAN CARLOS,9,223678000450,23678,2016-12-31,3979,796881.28,2016-12-31,48000
META,VILLAVICENCIO,8,150001001860,50001,2015-12-31,3101,593897.7,2015-12-31,34000
SANTANDER,BUCARAMANGA,42,168001000444,68001,2014-12-31,2344,4971251.52,2014-12-31,18300
TOLIMA,COYAIMA,3,273217001044,73217,2015-12-31,3101,222711.63,2015-12-31,34000
META,VILLAVICENCIO,81,150001000197,50001,2016-12-31,3979,7171931.57,2016-12-31,48000
ATLANTICO,BARRANQUILLA,13,108001075476,8001,2014-12-31,2344,1538720.71,2014-12-31,18300
CORDOBA,PUEBLO NUEVO,42,223570000381,23570,2016-12-31,3979,3718779.33,2016-12-31,48000
CUNDINAMARCA,FUNZA,24,125286000611,25286,2015-12-31,3101,1781693.1,2015-12-31,34000
CUNDINAMARCA,FACATATIVA,2,125269001183,25269,2014-12-31,2344,236726.26,2014-12-31,18300
BOYACA,FIRAVITOBA,43,115272000010,15272,2014-12-31,2344,5089614.65,2014-12-31,18300
BOGOTA,"BOGOTA, D.C.",61,311279000311,11001,2015-12-31,3101,4528469.97,2015-12-31,34000
AMAZONAS,LETICIA,6,291001000629,91001,2014-12-31,2344,710178.78,2014-12-31,18300
ANTIOQUIA,CAREPA,28,205045000363,5147,2016-12-31,3979,2479186.22,2016-12-31,48000
CESAR,EL PASO,22,220250000120,20250,2014-12-31,2344,2603988.89,2014-12-31,18300
META,VILLAVICENCIO,21,150001004630,50001,2015-12-31,3101,1558981.46,2015-12-31,34000
BOYACA,CORRALES,82,315215000029,15215,2014-12-31,2344,9705776.79,2014-12-31,18300
MAGDALENA,EL BANCO,14,147245000252,47245,2015-12-31,3101,1039320.97,2015-12-31,34000
NORTE DE SANTANDER,CUCUTA,6,154001004716,54001,2015-12-31,3101,445423.27,2015-12-31,34000
CUNDINAMARCA,CHIA,6,225175000145,25175,2016-12-31,3979,531254.19,2016-12-31,48000
BOGOTA,"BOGOTA, D.C.",33,111001014958,11001,2014-12-31,2344,3905983.34,2014-12-31,18300
NORTE DE SANTANDER,PAMPLONA,19,154518000435,54518,2016-12-31,3979,1682304.93,2016-12-31,48000
BOYACA,DUITAMA,21,215238000731,15238,2016-12-31,3979,1859389.66,2016-12-31,48000
TOLIMA,IBAGUE,51,173001008741,73001,2016-12-31,3979,4515660.61,2016-12-31,48000
META,SAN MARTIN,20,150689000276,50689,2015-12-31,3101,1484744.25,2015-12-31,34000
ATLANTICO,SABANAGRANDE,14,308634000113,8634,2016-12-31,3979,1239593.11,2016-12-31,48000
BOYACA,TENZA,44,115798000014,15798,2014-12-31,2344,5207977.79,2014-12-31,18300
ATLANTICO,SOLEDAD,24,308758076401,8758,2016-12-31,3979,2125016.76,2016-12-31,48000
NORTE DE SANTANDER,CUCUTA,17,154001000788,54001,2015-12-31,3101,1262032.61,2015-12-31,34000
VALLE DEL CAUCA,CALI,12,176001002881,76001,2014-12-31,2344,1420357.57,2014-12-31,18300
META,VILLAVICENCIO,31,150001004711,50001,2014-12-31,2344,3669257.07,2014-12-31,18300
